Gene ID,TCGA-38-4625-11A-01R-1758-07,TCGA-38-4625-01A-01R-1758-07
AKNA|80709,168.7014,820.1574
AKR1A1|10327,9102.1088,3051.7048
AKR1B10|57016,40341.8424,157.3623
AKR1B15|441282,247.5028,2.248
AKR1B1|231,5360.7103,3026.6017
AKR1C1|1645,121753.6071,1166.7291
AKR1C2|1646,55568.2575,524.1664
AKR1C3|8644,51365.1498,2219.9326
AKR1C4|1109,1.1099,0.3747
AKR1CL1|340811,1.1099,0.7493
AKR1D1|6718,2.2198,0
AKR1E2|83592,26.6371,17.6096
AKR7A2|8574,2062.1532,1363.8067
AKR7A3|22977,14.4284,8.6175
AKR7L|246181,17.758,0.7493
AKT1S1|84335,940.0666,1021.731
AKT1|207,2224.1953,4751.2177
AKT2|208,2236.404,2303.1098
AKT3|10000,204.2175,544.3987
AKTIP|64400,1075.0166,648.3477
ALAD|210,623.7514,1393.0311
ALAS1|211,602.6637,2810.0412
ALAS2|212,0,20.9816
ALB|213,7.7691,15.3616
ALCAM|214,9049.9445,6486.3245
ALDH16A1|126133,706.9922,1044.9607
ALDH18A1|5832,2458.3796,547.396
ALDH1A1|216,32411.7647,9261.5212
ALDH1A2|8854,114.3174,294.4923
ALDH1A3|220,940.1554,341.0378
ALDH1B1|219,411.7647,603.5969
ALDH1L1|10840,1.1099,363.8067
ALDH1L2|160428,59.9334,72.6864
ALDH2|217,5504.9945,19139.378
ALDH3A1|218,7736.9589,423.0049
ALDH3A2|224,14114.3174,3296.7404
ALDH3B1|221,133.1853,5375.4215
ALDH3B2|222,266.3707,65.193
ALDH4A1|8659,506.1043,584.4886
ALDH5A1|7915,206.4373,672.5365
ALDH6A1|4329,305.9156,517.7295
ALDH7A1|501,1672.586,941.1765
ALDH8A1|64577,1.1099,10.1161
ALDH9A1|223,2538.2908,2236.7928
ALDOA|226,76638.1798,20298.6137
ALDOB|229,0,173.4732
ALDOC|230,295.2275,437.6171
ALG10B|144245,178.6903,194.8295
ALG10|84920,238.6238,76.8078
ALG11|440138,17.758,8.9921
ALG12|79087,408.4351,729.112
ALG13|79868,1593.7847,507.3061
ALG14|199857,322.9745,263.3945
ALG1L2|644974,0,0
ALG1L|200810,653.8513,10.6482
ALG1|56052,445.2275,605.0993
ALG2|85365,716.9811,1050.5807
ALG3|10195,1549.3896,686.0247
ALG5|29880,1356.2708,991.0079
ALG6|29929,556.0488,197.8269
ALG8|79053,671.4761,511.4275
ALG9|79796,285.2386,525.665
ALKBH1|8846,563.818,251.0303
ALKBH2|121642,744.7281,177.2199
ALKBH3|221120,1306.3263,400.1499
ALKBH4|54784,499.1232,254.0277
ALKBH5|54890,1830.0333,2720.6557
ALKBH6|84964,377.3585,159.6103
ALKBH7|84266,2253.0522,1600.9741
ALKBH8|91801,128.7458,168.9771
ALK|238,7.7691,17.2349
ALLC|55821,0,0
ALMS1P|200420,2.2198,1.4987
ALMS1|7840,155.3829,276.8827
ALOX12B|242,4.4395,0.3747
ALOX12P2|245,235.2941,5.2454
ALOX12|239,9.9889,4.5298
ALOX15B|247,32.1865,1823.9041
ALOX15|246,31.0766,690.1461
ALOX5AP|241,370.6992,9216.1858
ALOX5|240,265.2608,7285.8749
ALOXE3|59344,2.2198,0.7493
ALPI|248,0,0
ALPK1|80216,138.7347,371.6748
ALPK2|115701,15.5383,2.248
ALPK3|57538,23.3074,651.5549
ALPL|249,964.4839,3078.3065
ALPPL2|251,1.1099,14.2375
ALPP|250,0,364.1813
ALS2CL|259173,302.9967,678.1566
ALS2CR11|151254,116.5372,3.7467
ALS2CR12|130540,0,17.2349
ALS2CR4|65062,2517.2031,530.5358
ALS2CR8|79800,45.505,131.8846
ALS2|57679,573.8069,432.3717
ALX1|8092,0,0.3747
ALX3|257,2.2198,10.8655
ALX4|60529,0,0
AMAC1L2|83650,2.2198,0.3747
AMAC1L3|643664,1.1099,0.3747
AMAC1|146861,0,0
AMACR|23600,638.1798,286.9989
AMBN|258,0,0
AMBP|259,0,34.0952
AMBRA1|55626,385.1276,868.4901
AMD1|262,1618.202,2594.1626
AMDHD1|144193,4.4395,20.607
AMDHD2|51005,168.7014,346.5717
AMELX|265,0,0
AMELY|266,0,0
AMFR|267,2866.8147,2906.332
AMHR2|269,0,11.6148
AMH|268,3.3296,2.6227
AMICA1|120425,207.5472,3077.5571
AMIGO1|57463,31.0766,106.7816
AMIGO2|347902,364.04,1347.692
AMIGO3|386724,31.0766,66.317
AMMECR1L|83607,472.808,530.5358
AMMECR1|9949,501.6648,210.1911
AMN1|196394,273.03,231.5474
AMN|81693,0,44.2113
AMOTL1|154810,152.0533,1707.381
AMOTL2|51421,1011.0988,2408.018
AMOT|154796,28.8568,285.5002
AMPD1|270,15.5383,10.1161
AMPD2|271,493.8957,525.2904
AMPD3|272,157.6027,192.5815
